Latitude,Longitude,Soil information recorded in the paper,Sowing year,Crop growing season recorded in the paper,N input rates with the unit kg N ha-1 (details),Sowing month,Harvesting month,E,Tmax,Tmin,Crop_barley.winter,Crop_cotton,Crop_maize,Crop_rice,Crop_sorghum,Crop_soybean,Crop_sunflower,Crop_wheat.spring,Crop_wheat.winter,Crop sequence (details)_1,N input_No,N input_Yes,ST_Silt loam,Initial year of NT practice ( or first year of experiment if missing),Years since NT started (yrs),Residue management of previous crop in NT (details),Water applied in NT,Fertilization NT_No,Fertilization NT_Yes,Irrigation NT_No,Irrigation NT_Yes,Yield of NT
40.15,-103.15,117,1993,127,0,9,7,634.618,31.06044,-8.83371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1992,2,109,0,0.0,1.0,1.0,0.0,3350.0
40.15,-103.15,117,1994,127,0,9,7,621.364,30.24864,-7.21116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1992,3,109,0,0.0,1.0,1.0,0.0,1676.0
40.15,-103.15,117,1995,127,0,9,7,647.94,29.22616,-11.65825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1992,4,109,0,0.0,1.0,1.0,0.0,2394.0
40.15,-103.15,117,1996,127,0,9,7,638.728,31.15953,-9.91188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1992,5,109,0,0.0,1.0,1.0,0.0,3090.0
40.15,-103.15,117,1997,127,0,9,7,646.077,29.86537,-7.93096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1992,6,109,0,0.0,1.0,1.0,0.0,3013.0
40.15,-103.15,117,1998,127,0,9,7,653.766,31.38359,-10.10253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1992,7,109,0,0.0,1.0,1.0,0.0,1740.0
40.15,-103.15,117,1999,127,0,9,7,659.437,32.59679,-7.97563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1992,8,109,0,0.0,1.0,1.0,0.0,2734.0
40.15,-103.15,117,2000,127,0,9,7,645.468,32.95001,-10.75148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1992,9,109,0,0.0,1.0,1.0,0.0,1887.0
40.15,-103.15,117,2001,127,0,9,7,637.921,33.58311,-9.86405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1992,10,109,0,0.0,1.0,1.0,0.0,3435.0
40.15,-103.15,117,2002,127,0,9,7,644.107,34.55946,-9.66341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1992,11,109,0,0.0,1.0,1.0,0.0,1841.0
42.94,-92.57,59,1996,75,0,5,10,463.279,27.33077,3.66085,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1995,2,51,0,0.0,1.0,0.0,1.0,3529.0
42.94,-92.57,59,1996,75,0,5,10,463.279,27.33077,3.66085,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1995,2,51,0,0.0,1.0,0.0,1.0,3529.0
42.94,-92.57,59,1997,75,0,5,10,494.706,28.0141,4.40098,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1995,3,51,0,0.0,1.0,0.0,1.0,2844.0
42.94,-92.57,59,1997,75,0,5,10,494.706,28.0141,4.40098,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1995,3,51,0,0.0,1.0,0.0,1.0,2844.0
42.94,-92.57,59,1995,75,0,5,10,502.598,30.40158,3.53012,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1995,1,51,0,0.0,1.0,0.0,1.0,2404.0
42.94,-92.57,59,1995,75,0,5,10,502.598,30.40158,3.53012,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1995,1,51,0,0.0,1.0,0.0,1.0,2404.0
44.31,-96.79,92,2005,73,42,5,10,541.433,29.15936,3.41993,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2003,3,167,0,0.0,1.0,0.0,1.0,7594.0
44.31,-96.79,92,2005,73,42,5,10,541.433,29.15936,3.41993,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2003,3,167,0,0.0,1.0,0.0,1.0,4470.0
44.31,-96.79,92,2006,73,42,5,10,542.5349577,31.3676935,0.722333847,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2003,4,167,0,0.0,1.0,0.0,1.0,8865.0
44.31,-96.79,92,2006,73,42,5,10,542.5349577,31.3676935,0.722333847,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2003,4,167,0,0.0,1.0,0.0,1.0,7445.0
41.8,1.12,86,1996,24,222,12,6,481.439,25.40583,2.79712,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1996,1,109,0,0.0,0.0,1.0,0.0,3098.0
41.8,1.12,86,1997,24,222,12,6,482.803,28.46006,2.45313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1996,2,144,0,0.0,0.0,1.0,0.0,4568.0
41.8,1.12,86,1998,24,222,12,6,484.196,27.16659,0.12838,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1996,3,144,0,0.0,0.0,1.0,0.0,3645.0
41.5,0.13,86,1997,24,222,12,6,415.484,29.88347,4.20414,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1996,2,144,0,0.0,0.0,1.0,0.0,770.0
41.5,0.13,86,1998,24,222,12,6,416.74,28.36756,2.29477,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1996,3,144,0,0.0,0.0,1.0,0.0,1247.0
41.77,1.27,86,1996,24,222,12,6,498.336,23.70359,2.70182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1996,1,91,0,0.0,0.0,1.0,0.0,4127.0
41.77,1.27,86,1997,24,222,12,6,496.581,25.38628,2.38834,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1996,2,91,0,0.0,0.0,1.0,0.0,2941.0
41.77,1.27,86,1998,24,222,12,6,493.124,24.61128,0.71023,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1996,3,91,0,0.0,0.0,1.0,0.0,5420.0
-23.48,148.15,91,1996,4,221,11,5,772.809,33.11866,15.08812,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990,7,109,0,0.0,0.0,0.0,1.0,2063.0
-23.48,148.15,91,1996,40,221,11,5,772.809,33.11866,15.08812,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990,7,109,0,0.0,0.0,0.0,1.0,2949.0
-23.48,148.15,91,1991,73,221,5,11,521.408,34.03646,6.68356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1990,2,109,0,0.0,0.0,0.0,1.0,1604.0
30.9,75.8,110,2004,29,41,12,5,549.7760813,38.63408833,6.036801246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2004,1,91,30,0.0,1.0,0.0,1.0,4000.0
30.9,75.8,110,2004,29,62,12,5,549.7760813,38.63408833,6.036801246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2004,1,91,30,0.0,1.0,0.0,1.0,4200.0
30.9,75.8,110,2005,29,62,12,5,553.8121462,39.83815839,4.642376807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2004,2,91,30,0.0,1.0,0.0,1.0,3800.0
30.9,75.8,110,2005,29,41,12,5,553.8121462,39.83815839,4.642376807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2004,2,91,30,0.0,1.0,0.0,1.0,3500.0
30.9,75.8,110,2006,12,41,12,5,553.9888433,39.39245999,5.029379568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2004,3,91,30,0.0,1.0,0.0,1.0,4400.0
