Latitude,Longitude,Soil information recorded in the paper,Sowing year,Crop growing season recorded in the paper,N input rates with the unit kg N ha-1 (details),Relative yield change,Sowing month,Harvesting month,E,PB,Tmax,Tmin,Crop_barley.winter,Crop_cotton,Crop_maize,Crop_rice,Crop_sorghum,Crop_soybean,Crop_sunflower,Crop_wheat.spring,Crop_wheat.winter,Crop sequence (details)_1,N input_No,N input_Yes,ST_Clay loam,ST_Silt loam,Water applied in CT,Fertilization CT _No,Fertilization CT _Yes,Irrigation CT_No,Irrigation CT_Yes,Yield of CT
40.16,16.65,100,2010,31,186,0.0577,11,7,684.918,-127.918,26.24189,4.88006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,5200.0
40.16,16.65,100,2010,31,186,0.2609,11,7,684.918,-127.918,26.24189,4.88006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,4600.0
40.16,16.65,100,2011,31,0,0.0317,11,7,702.472,-235.272,28.2099,2.61107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,6300.0
40.16,16.65,100,2011,31,140,0.0952,11,7,702.472,-235.272,28.2099,2.61107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,6300.0
40.16,16.65,100,2011,31,186,0.0,11,7,702.472,-235.272,28.2099,2.61107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,6700.0
40.16,16.65,100,2011,31,186,-0.0156,11,7,702.472,-235.272,28.2099,2.61107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,6400.0
45.42,-73.93,92,2002,73,187,-0.0238,5,10,493.022,62.878,26.54872,0.79462,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,5470.0
45.42,-73.93,92,2002,73,0,-0.0758,5,10,493.022,62.878,26.54872,0.79462,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,2110.0
45.42,-73.93,92,2003,73,187,0.1736,5,10,484.948,157.052,26.13306,2.31443,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,6740.0
45.42,-73.93,92,2003,73,0,-0.1622,5,10,484.948,157.052,26.13306,2.31443,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,3390.0
