Crop growing season recorded in the paper,Crop sequence (details)_1,Crop_barley.winter,Crop_cotton,Crop_maize,Crop_rice,Crop_sorghum,Crop_soybean,Crop_sunflower,Crop_wheat.spring,Crop_wheat.winter,E,Fertilization CT _No,Fertilization CT _Yes,Fertilization NT_No,Fertilization NT_Yes,Harvest year,Harvesting month,Initial year of NT practice ( or first year of experiment if missing),Irrigation CT_No,Irrigation CT_Yes,Irrigation NT_No,Irrigation NT_Yes,Journal,Latitude,Longitude,N input rates with the unit kg N ha-1 (details),N input_No,N input_Yes,PB,Relative yield change,Residue management of previous crop in NT (details),ST_Clay loam,ST_Silt loam,Soil cover in NT_No,Soil cover in NT_Yes,Soil information recorded in the paper,Sowing month,Sowing year,Tmax,Tmin,Water applied in CT,Water applied in NT,Year,Years since NT started (yrs),Yield increase with NT_Yes,Yield of CT,Yield of NT
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,702.472,1.0,0.0,1.0,0.0,2012,7,2009,1.0,0.0,1.0,0.0,16,40.16,16.65,0,1.0,0.0,-235.272,0.0317,109,0.0,0.0,1.0,0.0,100,11,2011,28.2099,2.61107,0,0,35,3,1.0,6300.0,6500.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,702.472,0.0,1.0,0.0,1.0,2012,7,2009,1.0,0.0,1.0,0.0,16,40.16,16.65,140,0.0,1.0,-235.272,0.0952,109,0.0,0.0,1.0,0.0,100,11,2011,28.2099,2.61107,0,0,35,3,1.0,6300.0,6900.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,702.472,0.0,1.0,0.0,1.0,2012,7,2009,1.0,0.0,1.0,0.0,16,40.16,16.65,186,0.0,1.0,-235.272,0.0,109,0.0,0.0,1.0,0.0,100,11,2011,28.2099,2.61107,0,0,35,3,0.0,6700.0,6700.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,702.472,0.0,1.0,0.0,1.0,2012,7,2009,1.0,0.0,1.0,0.0,16,40.16,16.65,186,0.0,1.0,-235.272,-0.0156,109,0.0,0.0,1.0,0.0,100,11,2011,28.2099,2.61107,0,0,35,3,0.0,6400.0,6300.0
73,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,493.022,0.0,1.0,0.0,1.0,2002,10,2001,0.0,1.0,0.0,1.0,102,45.42,-73.93,187,0.0,1.0,62.878,-0.0238,73,0.0,0.0,0.0,1.0,92,5,2002,26.54872,0.79462,0,0,26,2,0.0,5470.0,5340.0
73,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,493.022,1.0,0.0,1.0,0.0,2002,10,2001,0.0,1.0,0.0,1.0,102,45.42,-73.93,0,1.0,0.0,62.878,-0.0758,73,0.0,0.0,0.0,1.0,92,5,2002,26.54872,0.79462,0,0,26,2,0.0,2110.0,1950.0
73,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,484.948,0.0,1.0,0.0,1.0,2003,10,2001,0.0,1.0,0.0,1.0,102,45.42,-73.93,187,0.0,1.0,157.052,0.1736,73,0.0,0.0,0.0,1.0,92,5,2003,26.13306,2.31443,0,0,26,3,1.0,6740.0,7910.0
73,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,484.948,1.0,0.0,1.0,0.0,2003,10,2001,0.0,1.0,0.0,1.0,102,45.42,-73.93,0,1.0,0.0,157.052,-0.1622,73,0.0,0.0,0.0,1.0,92,5,2003,26.13306,2.31443,0,0,26,3,0.0,3390.0,2840.0
73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,411.484,0.0,1.0,0.0,1.0,2002,10,2001,0.0,1.0,0.0,1.0,99,45.42,-73.93,0,1.0,0.0,15.716,-0.0826,109,0.0,0.0,0.0,1.0,92,6,2002,26.54872,0.79462,0,0,26,2,0.0,2420.0,2220.0
73,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,399.759,0.0,1.0,0.0,1.0,2003,10,2001,0.0,1.0,0.0,1.0,99,45.42,-73.93,0,1.0,0.0,110.241,-0.0455,109,0.0,0.0,0.0,1.0,92,6,2003,26.13306,2.31443,0,0,26,3,0.0,3300.0,3150.0
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,634.618,0.0,1.0,0.0,1.0,1993,7,1992,1.0,0.0,1.0,0.0,17,40.15,-103.15,0,0.0,1.0,-267.318,0.4996,109,0.0,0.0,0.0,1.0,117,9,1993,31.06044,-8.83371,0,0,22,2,1.0,2234.0,3350.0
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,621.364,0.0,1.0,0.0,1.0,1994,7,1992,1.0,0.0,1.0,0.0,17,40.15,-103.15,0,0.0,1.0,-52.964,0.1472,109,0.0,0.0,0.0,1.0,117,9,1994,30.24864,-7.21116,0,0,22,3,1.0,1461.0,1676.0
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,647.94,0.0,1.0,0.0,1.0,1995,7,1992,1.0,0.0,1.0,0.0,17,40.15,-103.15,0,0.0,1.0,-161.339,0.2073,109,0.0,0.0,0.0,1.0,117,9,1995,29.22616,-11.65825,0,0,22,4,1.0,1983.0,2394.0
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,638.728,0.0,1.0,0.0,1.0,1996,7,1992,1.0,0.0,1.0,0.0,17,40.15,-103.15,0,0.0,1.0,-182.728,0.9216,109,0.0,0.0,0.0,1.0,117,9,1996,31.15953,-9.91188,0,0,22,5,1.0,1608.0,3090.0
